ISO3
AUT
BEL
BGR
CYP
CZE
DEU
DNK
ESP
EST
FIN
FRA
GRC
HRV
HUN
IRL
ITA
LTU
LUX
LVA
MLT
NLD
POL
PRT
ROU
SVK
SVN
SWE
