ISO3,Year,Indicator
SVK,1991,UNDP-HDI-GDI-HDI-F
SVN,1991,UNDP-HDI-GDI-HDI-F
HRV,1992,UNDP-HDI-GDI-HDI-F
LTU,1992,UNDP-HDI-GDI-HDI-F
LUX,1992,UNDP-HDI-GDI-HDI-F
LVA,1992,UNDP-HDI-GDI-HDI-F
SVK,1992,UNDP-HDI-GDI-HDI-F
SVN,1992,UNDP-HDI-GDI-HDI-F
HRV,1993,UNDP-HDI-GDI-HDI-F
LTU,1993,UNDP-HDI-GDI-HDI-F
LUX,1993,UNDP-HDI-GDI-HDI-F
LVA,1993,UNDP-HDI-GDI-HDI-F
SVK,1993,UNDP-HDI-GDI-HDI-F
SVN,1993,UNDP-HDI-GDI-HDI-F
HRV,1994,UNDP-HDI-GDI-HDI-F
LTU,1994,UNDP-HDI-GDI-HDI-F
LUX,1994,UNDP-HDI-GDI-HDI-F
LVA,1994,UNDP-HDI-GDI-HDI-F
SVK,1994,UNDP-HDI-GDI-HDI-F
SVN,1994,UNDP-HDI-GDI-HDI-F
LUX,1995,UNDP-HDI-GDI-HDI-F
LUX,1996,UNDP-HDI-GDI-HDI-F
LUX,1997,UNDP-HDI-GDI-HDI-F
LUX,1998,UNDP-HDI-GDI-HDI-F
LUX,1999,UNDP-HDI-GDI-HDI-F
HRV,1990,UNDP-HDI-GDI-HDI-M
LTU,1990,UNDP-HDI-GDI-HDI-M
LUX,1990,UNDP-HDI-GDI-HDI-M
LVA,1990,UNDP-HDI-GDI-HDI-M
SVK,1990,UNDP-HDI-GDI-HDI-M
SVN,1990,UNDP-HDI-GDI-HDI-M
HRV,1991,UNDP-HDI-GDI-HDI-M
LTU,1991,UNDP-HDI-GDI-HDI-M
LUX,1991,UNDP-HDI-GDI-HDI-M
LVA,1991,UNDP-HDI-GDI-HDI-M
SVK,1991,UNDP-HDI-GDI-HDI-M
SVN,1991,UNDP-HDI-GDI-HDI-M
HRV,1992,UNDP-HDI-GDI-HDI-M
LTU,1992,UNDP-HDI-GDI-HDI-M
LUX,1992,UNDP-HDI-GDI-HDI-M
LVA,1992,UNDP-HDI-GDI-HDI-M
SVK,1992,UNDP-HDI-GDI-HDI-M
SVN,1992,UNDP-HDI-GDI-HDI-M
HRV,1993,UNDP-HDI-GDI-HDI-M
LTU,1993,UNDP-HDI-GDI-HDI-M
LUX,1993,UNDP-HDI-GDI-HDI-M
LVA,1993,UNDP-HDI-GDI-HDI-M
SVK,1993,UNDP-HDI-GDI-HDI-M
SVN,1993,UNDP-HDI-GDI-HDI-M
HRV,1994,UNDP-HDI-GDI-HDI-M
LTU,1994,UNDP-HDI-GDI-HDI-M
LUX,1994,UNDP-HDI-GDI-HDI-M
LVA,1994,UNDP-HDI-GDI-HDI-M
SVK,1994,UNDP-HDI-GDI-HDI-M
SVN,1994,UNDP-HDI-GDI-HDI-M
LUX,1995,UNDP-HDI-GDI-HDI-M
LUX,1996,UNDP-HDI-GDI-HDI-M
LUX,1997,UNDP-HDI-GDI-HDI-M
LUX,1998,UNDP-HDI-GDI-HDI-M
LUX,1999,UNDP-HDI-GDI-HDI-M
LTU,1990,UNDP-HDI-GII
LVA,1990,UNDP-HDI-GII
LTU,1991,UNDP-HDI-GII
LVA,1991,UNDP-HDI-GII
LTU,1992,UNDP-HDI-GII
LVA,1992,UNDP-HDI-GII
LTU,1993,UNDP-HDI-GII
LVA,1993,UNDP-HDI-GII
LTU,1994,UNDP-HDI-GII
LVA,1994,UNDP-HDI-GII
LTU,1990,UNDP-HDI-GII-LFPR-F
LVA,1990,UNDP-HDI-GII-LFPR-F
LTU,1991,UNDP-HDI-GII-LFPR-F
LVA,1991,UNDP-HDI-GII-LFPR-F
LTU,1992,UNDP-HDI-GII-LFPR-F
LVA,1992,UNDP-HDI-GII-LFPR-F
LTU,1993,UNDP-HDI-GII-LFPR-F
LVA,1993,UNDP-HDI-GII-LFPR-F
LTU,1994,UNDP-HDI-GII-LFPR-F
LVA,1994,UNDP-HDI-GII-LFPR-F
LTU,1990,UNDP-HDI-GII-LFPR-M
LVA,1990,UNDP-HDI-GII-LFPR-M
LTU,1991,UNDP-HDI-GII-LFPR-M
LVA,1991,UNDP-HDI-GII-LFPR-M
LTU,1992,UNDP-HDI-GII-LFPR-M
LVA,1992,UNDP-HDI-GII-LFPR-M
LTU,1993,UNDP-HDI-GII-LFPR-M
LVA,1993,UNDP-HDI-GII-LFPR-M
LTU,1994,UNDP-HDI-GII-LFPR-M
LVA,1994,UNDP-HDI-GII-LFPR-M
HRV,1990,UNDP-HDI-GNIPC
SVK,1990,UNDP-HDI-GNIPC
SVN,1990,UNDP-HDI-GNIPC
HRV,1991,UNDP-HDI-GNIPC
SVK,1991,UNDP-HDI-GNIPC
SVN,1991,UNDP-HDI-GNIPC
HRV,1992,UNDP-HDI-GNIPC
SVK,1992,UNDP-HDI-GNIPC
SVN,1992,UNDP-HDI-GNIPC
HRV,1993,UNDP-HDI-GNIPC
SVK,1993,UNDP-HDI-GNIPC
SVN,1993,UNDP-HDI-GNIPC
HRV,1994,UNDP-HDI-GNIPC
SVK,1994,UNDP-HDI-GNIPC
SVN,1994,UNDP-HDI-GNIPC
AUT,1990,UNDP-HDI-IHDI
BEL,1990,UNDP-HDI-IHDI
BGR,1990,UNDP-HDI-IHDI
CYP,1990,UNDP-HDI-IHDI
CZE,1990,UNDP-HDI-IHDI
DEU,1990,UNDP-HDI-IHDI
DNK,1990,UNDP-HDI-IHDI
ESP,1990,UNDP-HDI-IHDI
EST,1990,UNDP-HDI-IHDI
FIN,1990,UNDP-HDI-IHDI
FRA,1990,UNDP-HDI-IHDI
GRC,1990,UNDP-HDI-IHDI
HRV,1990,UNDP-HDI-IHDI
HUN,1990,UNDP-HDI-IHDI
IRL,1990,UNDP-HDI-IHDI
ITA,1990,UNDP-HDI-IHDI
LTU,1990,UNDP-HDI-IHDI
LUX,1990,UNDP-HDI-IHDI
LVA,1990,UNDP-HDI-IHDI
MLT,1990,UNDP-HDI-IHDI
NLD,1990,UNDP-HDI-IHDI
POL,1990,UNDP-HDI-IHDI
PRT,1990,UNDP-HDI-IHDI
ROU,1990,UNDP-HDI-IHDI
SVK,1990,UNDP-HDI-IHDI
SVN,1990,UNDP-HDI-IHDI
SWE,1990,UNDP-HDI-IHDI
AUT,1991,UNDP-HDI-IHDI
BEL,1991,UNDP-HDI-IHDI
BGR,1991,UNDP-HDI-IHDI
CYP,1991,UNDP-HDI-IHDI
CZE,1991,UNDP-HDI-IHDI
DEU,1991,UNDP-HDI-IHDI
DNK,1991,UNDP-HDI-IHDI
ESP,1991,UNDP-HDI-IHDI
EST,1991,UNDP-HDI-IHDI
FIN,1991,UNDP-HDI-IHDI
FRA,1991,UNDP-HDI-IHDI
GRC,1991,UNDP-HDI-IHDI
HRV,1991,UNDP-HDI-IHDI
HUN,1991,UNDP-HDI-IHDI
IRL,1991,UNDP-HDI-IHDI
ITA,1991,UNDP-HDI-IHDI
LTU,1991,UNDP-HDI-IHDI
LUX,1991,UNDP-HDI-IHDI
LVA,1991,UNDP-HDI-IHDI
MLT,1991,UNDP-HDI-IHDI
NLD,1991,UNDP-HDI-IHDI
POL,1991,UNDP-HDI-IHDI
PRT,1991,UNDP-HDI-IHDI
ROU,1991,UNDP-HDI-IHDI
SVK,1991,UNDP-HDI-IHDI
SVN,1991,UNDP-HDI-IHDI
SWE,1991,UNDP-HDI-IHDI
AUT,1992,UNDP-HDI-IHDI
BEL,1992,UNDP-HDI-IHDI
BGR,1992,UNDP-HDI-IHDI
CYP,1992,UNDP-HDI-IHDI
CZE,1992,UNDP-HDI-IHDI
DEU,1992,UNDP-HDI-IHDI
DNK,1992,UNDP-HDI-IHDI
ESP,1992,UNDP-HDI-IHDI
EST,1992,UNDP-HDI-IHDI
FIN,1992,UNDP-HDI-IHDI
FRA,1992,UNDP-HDI-IHDI
GRC,1992,UNDP-HDI-IHDI
HRV,1992,UNDP-HDI-IHDI
HUN,1992,UNDP-HDI-IHDI
IRL,1992,UNDP-HDI-IHDI
ITA,1992,UNDP-HDI-IHDI
LTU,1992,UNDP-HDI-IHDI
LUX,1992,UNDP-HDI-IHDI
LVA,1992,UNDP-HDI-IHDI
MLT,1992,UNDP-HDI-IHDI
NLD,1992,UNDP-HDI-IHDI
POL,1992,UNDP-HDI-IHDI
PRT,1992,UNDP-HDI-IHDI
ROU,1992,UNDP-HDI-IHDI
SVK,1992,UNDP-HDI-IHDI
SVN,1992,UNDP-HDI-IHDI
SWE,1992,UNDP-HDI-IHDI
AUT,1993,UNDP-HDI-IHDI
BEL,1993,UNDP-HDI-IHDI
BGR,1993,UNDP-HDI-IHDI
CYP,1993,UNDP-HDI-IHDI
CZE,1993,UNDP-HDI-IHDI
DEU,1993,UNDP-HDI-IHDI
DNK,1993,UNDP-HDI-IHDI
ESP,1993,UNDP-HDI-IHDI
EST,1993,UNDP-HDI-IHDI
FIN,1993,UNDP-HDI-IHDI
FRA,1993,UNDP-HDI-IHDI
GRC,1993,UNDP-HDI-IHDI
HRV,1993,UNDP-HDI-IHDI
HUN,1993,UNDP-HDI-IHDI
IRL,1993,UNDP-HDI-IHDI
ITA,1993,UNDP-HDI-IHDI
LTU,1993,UNDP-HDI-IHDI
LUX,1993,UNDP-HDI-IHDI
LVA,1993,UNDP-HDI-IHDI
MLT,1993,UNDP-HDI-IHDI
NLD,1993,UNDP-HDI-IHDI
POL,1993,UNDP-HDI-IHDI
PRT,1993,UNDP-HDI-IHDI
ROU,1993,UNDP-HDI-IHDI
SVK,1993,UNDP-HDI-IHDI
SVN,1993,UNDP-HDI-IHDI
SWE,1993,UNDP-HDI-IHDI
AUT,1994,UNDP-HDI-IHDI
BEL,1994,UNDP-HDI-IHDI
BGR,1994,UNDP-HDI-IHDI
CYP,1994,UNDP-HDI-IHDI
CZE,1994,UNDP-HDI-IHDI
DEU,1994,UNDP-HDI-IHDI
DNK,1994,UNDP-HDI-IHDI
ESP,1994,UNDP-HDI-IHDI
EST,1994,UNDP-HDI-IHDI
FIN,1994,UNDP-HDI-IHDI
FRA,1994,UNDP-HDI-IHDI
GRC,1994,UNDP-HDI-IHDI
HRV,1994,UNDP-HDI-IHDI
HUN,1994,UNDP-HDI-IHDI
IRL,1994,UNDP-HDI-IHDI
ITA,1994,UNDP-HDI-IHDI
LTU,1994,UNDP-HDI-IHDI
LUX,1994,UNDP-HDI-IHDI
LVA,1994,UNDP-HDI-IHDI
MLT,1994,UNDP-HDI-IHDI
NLD,1994,UNDP-HDI-IHDI
POL,1994,UNDP-HDI-IHDI
PRT,1994,UNDP-HDI-IHDI
ROU,1994,UNDP-HDI-IHDI
SVK,1994,UNDP-HDI-IHDI
SVN,1994,UNDP-HDI-IHDI
SWE,1994,UNDP-HDI-IHDI
AUT,1995,UNDP-HDI-IHDI
BEL,1995,UNDP-HDI-IHDI
BGR,1995,UNDP-HDI-IHDI
CYP,1995,UNDP-HDI-IHDI
CZE,1995,UNDP-HDI-IHDI
DEU,1995,UNDP-HDI-IHDI
DNK,1995,UNDP-HDI-IHDI
ESP,1995,UNDP-HDI-IHDI
EST,1995,UNDP-HDI-IHDI
FIN,1995,UNDP-HDI-IHDI
FRA,1995,UNDP-HDI-IHDI
GRC,1995,UNDP-HDI-IHDI
HRV,1995,UNDP-HDI-IHDI
HUN,1995,UNDP-HDI-IHDI
IRL,1995,UNDP-HDI-IHDI
ITA,1995,UNDP-HDI-IHDI
LTU,1995,UNDP-HDI-IHDI
LUX,1995,UNDP-HDI-IHDI
LVA,1995,UNDP-HDI-IHDI
MLT,1995,UNDP-HDI-IHDI
NLD,1995,UNDP-HDI-IHDI
POL,1995,UNDP-HDI-IHDI
PRT,1995,UNDP-HDI-IHDI
ROU,1995,UNDP-HDI-IHDI
SVK,1995,UNDP-HDI-IHDI
SVN,1995,UNDP-HDI-IHDI
SWE,1995,UNDP-HDI-IHDI
AUT,1996,UNDP-HDI-IHDI
BEL,1996,UNDP-HDI-IHDI
BGR,1996,UNDP-HDI-IHDI
CYP,1996,UNDP-HDI-IHDI
CZE,1996,UNDP-HDI-IHDI
DEU,1996,UNDP-HDI-IHDI
DNK,1996,UNDP-HDI-IHDI
ESP,1996,UNDP-HDI-IHDI
EST,1996,UNDP-HDI-IHDI
FIN,1996,UNDP-HDI-IHDI
FRA,1996,UNDP-HDI-IHDI
GRC,1996,UNDP-HDI-IHDI
HRV,1996,UNDP-HDI-IHDI
HUN,1996,UNDP-HDI-IHDI
IRL,1996,UNDP-HDI-IHDI
ITA,1996,UNDP-HDI-IHDI
LTU,1996,UNDP-HDI-IHDI
LUX,1996,UNDP-HDI-IHDI
LVA,1996,UNDP-HDI-IHDI
MLT,1996,UNDP-HDI-IHDI
NLD,1996,UNDP-HDI-IHDI
POL,1996,UNDP-HDI-IHDI
PRT,1996,UNDP-HDI-IHDI
ROU,1996,UNDP-HDI-IHDI
SVK,1996,UNDP-HDI-IHDI
SVN,1996,UNDP-HDI-IHDI
SWE,1996,UNDP-HDI-IHDI
AUT,1997,UNDP-HDI-IHDI
BEL,1997,UNDP-HDI-IHDI
BGR,1997,UNDP-HDI-IHDI
CYP,1997,UNDP-HDI-IHDI
CZE,1997,UNDP-HDI-IHDI
DEU,1997,UNDP-HDI-IHDI
DNK,1997,UNDP-HDI-IHDI
ESP,1997,UNDP-HDI-IHDI
EST,1997,UNDP-HDI-IHDI
FIN,1997,UNDP-HDI-IHDI
FRA,1997,UNDP-HDI-IHDI
GRC,1997,UNDP-HDI-IHDI
HRV,1997,UNDP-HDI-IHDI
HUN,1997,UNDP-HDI-IHDI
IRL,1997,UNDP-HDI-IHDI
ITA,1997,UNDP-HDI-IHDI
LTU,1997,UNDP-HDI-IHDI
LUX,1997,UNDP-HDI-IHDI
LVA,1997,UNDP-HDI-IHDI
MLT,1997,UNDP-HDI-IHDI
NLD,1997,UNDP-HDI-IHDI
POL,1997,UNDP-HDI-IHDI
PRT,1997,UNDP-HDI-IHDI
ROU,1997,UNDP-HDI-IHDI
SVK,1997,UNDP-HDI-IHDI
SVN,1997,UNDP-HDI-IHDI
SWE,1997,UNDP-HDI-IHDI
AUT,1998,UNDP-HDI-IHDI
BEL,1998,UNDP-HDI-IHDI
BGR,1998,UNDP-HDI-IHDI
CYP,1998,UNDP-HDI-IHDI
CZE,1998,UNDP-HDI-IHDI
DEU,1998,UNDP-HDI-IHDI
DNK,1998,UNDP-HDI-IHDI
ESP,1998,UNDP-HDI-IHDI
EST,1998,UNDP-HDI-IHDI
FIN,1998,UNDP-HDI-IHDI
FRA,1998,UNDP-HDI-IHDI
GRC,1998,UNDP-HDI-IHDI
HRV,1998,UNDP-HDI-IHDI
HUN,1998,UNDP-HDI-IHDI
IRL,1998,UNDP-HDI-IHDI
ITA,1998,UNDP-HDI-IHDI
LTU,1998,UNDP-HDI-IHDI
LUX,1998,UNDP-HDI-IHDI
LVA,1998,UNDP-HDI-IHDI
MLT,1998,UNDP-HDI-IHDI
NLD,1998,UNDP-HDI-IHDI
POL,1998,UNDP-HDI-IHDI
PRT,1998,UNDP-HDI-IHDI
ROU,1998,UNDP-HDI-IHDI
SVK,1998,UNDP-HDI-IHDI
SVN,1998,UNDP-HDI-IHDI
SWE,1998,UNDP-HDI-IHDI
AUT,1999,UNDP-HDI-IHDI
BEL,1999,UNDP-HDI-IHDI
BGR,1999,UNDP-HDI-IHDI
CYP,1999,UNDP-HDI-IHDI
CZE,1999,UNDP-HDI-IHDI
DEU,1999,UNDP-HDI-IHDI
DNK,1999,UNDP-HDI-IHDI
ESP,1999,UNDP-HDI-IHDI
EST,1999,UNDP-HDI-IHDI
FIN,1999,UNDP-HDI-IHDI
FRA,1999,UNDP-HDI-IHDI
GRC,1999,UNDP-HDI-IHDI
HRV,1999,UNDP-HDI-IHDI
HUN,1999,UNDP-HDI-IHDI
IRL,1999,UNDP-HDI-IHDI
ITA,1999,UNDP-HDI-IHDI
LTU,1999,UNDP-HDI-IHDI
LUX,1999,UNDP-HDI-IHDI
LVA,1999,UNDP-HDI-IHDI
MLT,1999,UNDP-HDI-IHDI
NLD,1999,UNDP-HDI-IHDI
POL,1999,UNDP-HDI-IHDI
PRT,1999,UNDP-HDI-IHDI
ROU,1999,UNDP-HDI-IHDI
SVK,1999,UNDP-HDI-IHDI
SVN,1999,UNDP-HDI-IHDI
SWE,1999,UNDP-HDI-IHDI
AUT,2000,UNDP-HDI-IHDI
BEL,2000,UNDP-HDI-IHDI
BGR,2000,UNDP-HDI-IHDI
CYP,2000,UNDP-HDI-IHDI
CZE,2000,UNDP-HDI-IHDI
DEU,2000,UNDP-HDI-IHDI
DNK,2000,UNDP-HDI-IHDI
ESP,2000,UNDP-HDI-IHDI
EST,2000,UNDP-HDI-IHDI
FIN,2000,UNDP-HDI-IHDI
FRA,2000,UNDP-HDI-IHDI
GRC,2000,UNDP-HDI-IHDI
HRV,2000,UNDP-HDI-IHDI
HUN,2000,UNDP-HDI-IHDI
IRL,2000,UNDP-HDI-IHDI
ITA,2000,UNDP-HDI-IHDI
LTU,2000,UNDP-HDI-IHDI
LUX,2000,UNDP-HDI-IHDI
LVA,2000,UNDP-HDI-IHDI
MLT,2000,UNDP-HDI-IHDI
NLD,2000,UNDP-HDI-IHDI
POL,2000,UNDP-HDI-IHDI
PRT,2000,UNDP-HDI-IHDI
ROU,2000,UNDP-HDI-IHDI
SVK,2000,UNDP-HDI-IHDI
SVN,2000,UNDP-HDI-IHDI
SWE,2000,UNDP-HDI-IHDI
AUT,2001,UNDP-HDI-IHDI
BEL,2001,UNDP-HDI-IHDI
BGR,2001,UNDP-HDI-IHDI
CYP,2001,UNDP-HDI-IHDI
CZE,2001,UNDP-HDI-IHDI
DEU,2001,UNDP-HDI-IHDI
DNK,2001,UNDP-HDI-IHDI
ESP,2001,UNDP-HDI-IHDI
EST,2001,UNDP-HDI-IHDI
FIN,2001,UNDP-HDI-IHDI
FRA,2001,UNDP-HDI-IHDI
GRC,2001,UNDP-HDI-IHDI
HRV,2001,UNDP-HDI-IHDI
HUN,2001,UNDP-HDI-IHDI
IRL,2001,UNDP-HDI-IHDI
ITA,2001,UNDP-HDI-IHDI
LTU,2001,UNDP-HDI-IHDI
LUX,2001,UNDP-HDI-IHDI
LVA,2001,UNDP-HDI-IHDI
MLT,2001,UNDP-HDI-IHDI
NLD,2001,UNDP-HDI-IHDI
POL,2001,UNDP-HDI-IHDI
PRT,2001,UNDP-HDI-IHDI
ROU,2001,UNDP-HDI-IHDI
SVK,2001,UNDP-HDI-IHDI
SVN,2001,UNDP-HDI-IHDI
SWE,2001,UNDP-HDI-IHDI
AUT,2002,UNDP-HDI-IHDI
BEL,2002,UNDP-HDI-IHDI
BGR,2002,UNDP-HDI-IHDI
CYP,2002,UNDP-HDI-IHDI
CZE,2002,UNDP-HDI-IHDI
DEU,2002,UNDP-HDI-IHDI
DNK,2002,UNDP-HDI-IHDI
ESP,2002,UNDP-HDI-IHDI
EST,2002,UNDP-HDI-IHDI
FIN,2002,UNDP-HDI-IHDI
FRA,2002,UNDP-HDI-IHDI
GRC,2002,UNDP-HDI-IHDI
HRV,2002,UNDP-HDI-IHDI
HUN,2002,UNDP-HDI-IHDI
IRL,2002,UNDP-HDI-IHDI
ITA,2002,UNDP-HDI-IHDI
LTU,2002,UNDP-HDI-IHDI
LUX,2002,UNDP-HDI-IHDI
LVA,2002,UNDP-HDI-IHDI
MLT,2002,UNDP-HDI-IHDI
NLD,2002,UNDP-HDI-IHDI
POL,2002,UNDP-HDI-IHDI
PRT,2002,UNDP-HDI-IHDI
ROU,2002,UNDP-HDI-IHDI
SVK,2002,UNDP-HDI-IHDI
SVN,2002,UNDP-HDI-IHDI
SWE,2002,UNDP-HDI-IHDI
AUT,2003,UNDP-HDI-IHDI
BEL,2003,UNDP-HDI-IHDI
BGR,2003,UNDP-HDI-IHDI
CYP,2003,UNDP-HDI-IHDI
CZE,2003,UNDP-HDI-IHDI
DEU,2003,UNDP-HDI-IHDI
DNK,2003,UNDP-HDI-IHDI
ESP,2003,UNDP-HDI-IHDI
EST,2003,UNDP-HDI-IHDI
FIN,2003,UNDP-HDI-IHDI
FRA,2003,UNDP-HDI-IHDI
GRC,2003,UNDP-HDI-IHDI
HRV,2003,UNDP-HDI-IHDI
HUN,2003,UNDP-HDI-IHDI
IRL,2003,UNDP-HDI-IHDI
ITA,2003,UNDP-HDI-IHDI
LTU,2003,UNDP-HDI-IHDI
LUX,2003,UNDP-HDI-IHDI
LVA,2003,UNDP-HDI-IHDI
MLT,2003,UNDP-HDI-IHDI
NLD,2003,UNDP-HDI-IHDI
POL,2003,UNDP-HDI-IHDI
PRT,2003,UNDP-HDI-IHDI
ROU,2003,UNDP-HDI-IHDI
SVK,2003,UNDP-HDI-IHDI
SVN,2003,UNDP-HDI-IHDI
SWE,2003,UNDP-HDI-IHDI
AUT,2004,UNDP-HDI-IHDI
BEL,2004,UNDP-HDI-IHDI
BGR,2004,UNDP-HDI-IHDI
CYP,2004,UNDP-HDI-IHDI
CZE,2004,UNDP-HDI-IHDI
DEU,2004,UNDP-HDI-IHDI
DNK,2004,UNDP-HDI-IHDI
ESP,2004,UNDP-HDI-IHDI
EST,2004,UNDP-HDI-IHDI
FIN,2004,UNDP-HDI-IHDI
FRA,2004,UNDP-HDI-IHDI
GRC,2004,UNDP-HDI-IHDI
HRV,2004,UNDP-HDI-IHDI
HUN,2004,UNDP-HDI-IHDI
